No.;Time;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
357;142,503588;;142,503588;142,546069;0,042481;;-0,004768;0,04712;0,051888
358;142,546069;;142,546069;142,593318;0,047249;;0,04712;-0,010043;-0,057163
359;142,593318;;142,593318;142,593447;0,000129;;-0,010043;0,00988;0,019923
360;142,593447;;142,593447;142,603619;0,010172;;0,00988;0,000292;-0,009588
361;142,603619;;142,603619;142,603911;0,000292;;0,000292;-8,90E-05;-0,000381
362;142,603911;;142,603911;142,603911;0;;-8,90E-05;-0,000922;-0,000833
363;142,603911;;142,603911;142,604;8,90E-05;;-0,000922;-0,000504;0,000418
364;142,604;;142,604;142,605011;0,001011;;-0,000504;0,001426;0,00193
365;142,605011;;142,605011;142,606526;0,001515;;0,001426;-0,001684;-0,00311
366;142,606526;;142,606526;142,606615;8,90E-05;;-0,001684;0,001683;0,003367
367;142,606615;;142,606615;142,608388;0,001773;;0,001683;-0,000966;-0,002649
368;142,608388;;142,608388;142,608478;9,00E-05;;-0,000966;0,000973;0,001939
369;142,608478;;142,608478;142,609534;0,001056;;0,000973;-0,00213;-0,003103
370;142,609534;;142,609534;142,609617;8,30E-05;;-0,00213;0,000314;0,002444
371;142,609617;;142,609617;142,61183;0,002213;;0,000314;0,001795;0,001481
372;142,61183;;142,61183;142,613729;0,001899;;0,001795;-0,000667;-0,002462
373;142,613729;;142,613729;142,613833;0,000104;;-0,000667;0,000655;0,001322
374;142,613833;;142,613833;142,614604;0,000771;;0,000655;-0,001736;-0,002391
375;142,614604;;142,614604;142,61472;0,000116;;-0,001736;0,001748;0,003484
376;142,61472;;142,61472;142,616572;0,001852;;0,001748;-0,001863;-0,003611
377;142,616572;;142,616572;142,616676;0,000104;;-0,001863;0,001832;0,003695
378;142,616676;;142,616676;142,618643;0,001967;;0,001832;-0,002212;-0,004044
379;142,618643;;142,618643;142,618778;0,000135;;-0,002212;0,002203;0,004415
380;142,618778;;142,618778;142,621125;0,002347;;0,002203;-0,141646;-0,143849
381;142,621125;;142,621125;142,621269;0,000144;;-0,141646;0,088485;0,230131
382;142,621269;;142,621269;142,763059;0,14179;;0,088485;-0,011386;-0,099871
